,Medal,Beer Name,Brewery,City,State,Category,Year
186,Gold,Little Wing,Horse Thief Hollow Brewing Co.,Chicago,IL,International-Style Pilsener,2023
187,Silver,Ofrenda,Device Brewing Co.,Sacramento,CA,International-Style Pilsener,2023
188,Bronze,Tora!,Fall Brewing Co.,San Diego,CA,International-Style Pilsener,2023
189,Gold,Rock Hill Irish Red,Barley Naked Brewing Co.,Stafford,VA,Irish-Style Red Ale,2023
190,Silver,Megaphone,Inside the Five Brewing Co.,Sylvania,OH,Irish-Style Red Ale,2023
191,Bronze,Engine 402,Orange Hat Brewing Co.,Knoxville,TN,Irish-Style Red Ale,2023
192,Gold,DDH Pillow,Highland Park Brewery,Los Angeles,CA,Juicy or Hazy Imperial India Pale AleCategory Sponsor: Omega Yeast,2023
193,Silver,X-Raying Flowers,North Park Beer Co.,San Diego,CA,Juicy or Hazy Imperial India Pale AleCategory Sponsor: Omega Yeast,2023
194,Bronze,Blue Quad Roller Skates,Wren House Brewing Co.,Phoenix,AZ,Juicy or Hazy Imperial India Pale AleCategory Sponsor: Omega Yeast,2023
195,Gold,Away Days,1852 Brew Co.,Visalia,CA,Juicy or Hazy India Pale AleCategory Sponsor: Antigo Zeon,2023
196,Silver,Juicy Mid-Tones,Corn Coast Brewing Co.,Lincoln,NE,Juicy or Hazy India Pale AleCategory Sponsor: Antigo Zeon,2023
197,Bronze,Make it Rain,Side Hustle Brewing Co.,Hilton Head Island,SC,Juicy or Hazy India Pale AleCategory Sponsor: Antigo Zeon,2023
198,Gold,Cloudy Joose,New Belgium Brewing Co. – Mission Bay,San Francisco,CA,Juicy or Hazy Pale Ale,2023
199,Silver,Sneakbox,Kane Brewing Co.,Ocean,NJ,Juicy or Hazy Pale Ale,2023
200,Bronze,Lil’ Space Booties,MORE Brewing Co.,Huntley,IL,Juicy or Hazy Pale Ale,2023
201,Gold,PB Haze,TapRoom Beer Co.,San Diego,CA,Juicy or Hazy Strong Pale Ale,2023
202,Silver,Modern Melody,Corn Coast Brewing Co.,Lincoln,NE,Juicy or Hazy Strong Pale Ale,2023
203,Bronze,Tropical Mirage,Flix Brewhouse – ABQ,Albuquerque,NM,Juicy or Hazy Strong Pale Ale,2023
204,Gold,Copper Midge,Spearfish Brewing Co.,Spearfish,SD,Kellerbier or Zwickelbier,2023
205,Silver,Chasing Trains,Formula Brewing,Issaquah,WA,Kellerbier or Zwickelbier,2023
206,Bronze,Light Hike,Topa Topa Brewing Co. – HQ,Ventura,CA,Kellerbier or Zwickelbier,2023
